GEMEENTE,PROVINCIE
Alphen aan den Rijn,Zuid-Holland
Barendrecht,Zuid-Holland
Bergambacht,Zuid-Holland
Bergschenhoek,Zuid-Holland
Berkel en Rodenrijs,Zuid-Holland
Bernisse,Zuid-Holland
Binnenmaas,Zuid-Holland
Bleiswijk,Zuid-Holland
Bodegraven,Zuid-Holland
Boskoop,Zuid-Holland
Brielle,Zuid-Holland
Capelle aan den IJssel,Zuid-Holland
Cromstrijen,Zuid-Holland
Delft,Zuid-Holland
Dirksland,Zuid-Holland
Dordrecht,Zuid-Holland
Giessenlanden,Zuid-Holland
Goedereede,Zuid-Holland
Gorinchem,Zuid-Holland
Gouda,Zuid-Holland
Graafstroom,Zuid-Holland
's-Gravendeel,Zuid-Holland
's-Gravenhage,Zuid-Holland
Hardinxveld-Giessendam,Zuid-Holland
Hellevoetsluis,Zuid-Holland
Hendrik-Ido-Ambacht,Zuid-Holland
Hillegom,Zuid-Holland
Jacobswoude,Zuid-Holland
Katwijk,Zuid-Holland
Korendijk,Zuid-Holland
Krimpen aan den IJssel,Zuid-Holland
Leerdam,Zuid-Holland
Leiden,Zuid-Holland
Leiderdorp,Zuid-Holland
Leidschendam-Voorburg,Zuid-Holland
Liemeer,Zuid-Holland
Liesveld,Zuid-Holland
Lisse,Zuid-Holland
Maassluis,Zuid-Holland
Middelharnis,Zuid-Holland
Midden-Delfland,Zuid-Holland
Moordrecht,Zuid-Holland
Nederlek,Zuid-Holland
Nieuwerkerk aan den IJssel,Zuid-Holland
Nieuwkoop,Zuid-Holland
Nieuw-Lekkerland,Zuid-Holland
Noordwijk,Zuid-Holland
Noordwijkerhout,Zuid-Holland
Oegstgeest,Zuid-Holland
Oostflakkee,Zuid-Holland
Oud-Beijerland,Zuid-Holland
Ouderkerk,Zuid-Holland
Papendrecht,Zuid-Holland
Pijnacker-Nootdorp,Zuid-Holland
Reeuwijk,Zuid-Holland
Ridderkerk,Zuid-Holland
Rijnwoude,Zuid-Holland
Rijswijk,Zuid-Holland
Rotterdam,Zuid-Holland
Rozenburg,Zuid-Holland
Schiedam,Zuid-Holland
Schoonhoven,Zuid-Holland
Sliedrecht,Zuid-Holland
Spijkenisse,Zuid-Holland
Strijen,Zuid-Holland
Teylingen,Zuid-Holland
Vlaardingen,Zuid-Holland
Vlist,Zuid-Holland
Voorschoten,Zuid-Holland
Waddinxveen,Zuid-Holland
Wassenaar,Zuid-Holland
Westland,Zuid-Holland
Westvoorne,Zuid-Holland
Zederik,Zuid-Holland
Zevenhuizen-Moerkapelle,Zuid-Holland
Zoetermeer,Zuid-Holland
Zoeterwoude,Zuid-Holland
Zwijndrecht,Zuid-Holland
Borsele,Zeeland
Goes,Zeeland
Hulst,Zeeland
Kapelle,Zeeland
Middelburg,Zeeland
Noord-Beveland,Zeeland
Reimerswaal,Zeeland
Schouwen-Duiveland,Zeeland
Sluis,Zeeland
Terneuzen,Zeeland
Tholen,Zeeland
Veere,Zeeland
Vlissingen,Zeeland
Aalburg,Noord-Brabant
Alphen-Chaam,Noord-Brabant
Asten,Noord-Brabant
Baarle-Nassau,Noord-Brabant
Bergeijk,Noord-Brabant
Bergen op Zoom,Noord-Brabant
Bernheze,Noord-Brabant
Best,Noord-Brabant
Bladel,Noord-Brabant
Boekel,Noord-Brabant
Boxmeer,Noord-Brabant
Boxtel,Noord-Brabant
Breda,Noord-Brabant
Cranendonck,Noord-Brabant
Cuijk,Noord-Brabant
Deurne,Noord-Brabant
Dongen,Noord-Brabant
Drimmelen,Noord-Brabant
Eersel,Noord-Brabant
Eindhoven,Noord-Brabant
Etten-Leur,Noord-Brabant
Geertruidenberg,Noord-Brabant
Geldrop-Mierlo,Noord-Brabant
Gemert-Bakel,Noord-Brabant
Gilze en Rijen,Noord-Brabant
Goirle,Noord-Brabant
Grave,Noord-Brabant
Haaren,Noord-Brabant
Halderberge,Noord-Brabant
Heeze-Leende,Noord-Brabant
Helmond,Noord-Brabant
's-Hertogenbosch,Noord-Brabant
Heusden,Noord-Brabant
Hilvarenbeek,Noord-Brabant
Laarbeek,Noord-Brabant
Landerd,Noord-Brabant
Lith,Noord-Brabant
Loon op Zand,Noord-Brabant
Maasdonk,Noord-Brabant
Mill en Sint Hubert,Noord-Brabant
Moerdijk,Noord-Brabant
"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Oirschot,Noord-Brabant
Oisterwijk,Noord-Brabant
Oosterhout,Noord-Brabant
Oss,Noord-Brabant
Reusel-De Mierden,Noord-Brabant
Roosendaal,Noord-Brabant
Rucphen,Noord-Brabant
Schijndel,Noord-Brabant
Sint Anthonis,Noord-Brabant
Sint-Michielsgestel,Noord-Brabant
Sint-Oedenrode,Noord-Brabant
Someren,Noord-Brabant
Son en Breugel,Noord-Brabant
Steenbergen,Noord-Brabant
Tilburg,Noord-Brabant
Uden,Noord-Brabant
Valkenswaard,Noord-Brabant
Veghel,Noord-Brabant
Veldhoven,Noord-Brabant
Vught,Noord-Brabant
Waalre,Noord-Brabant
Waalwijk,Noord-Brabant
Werkendam,Noord-Brabant
Woensdrecht,Noord-Brabant
Woudrichem,Noord-Brabant
Zundert,Noord-Brabant
Ambt Montfort,Limburg
Arcen en Velden,Limburg
Beek,Limburg
Beesel,Limburg
Bergen (L.),Limburg
Brunssum,Limburg
Echt-Susteren,Limburg
Eijsden,Limburg
Gennep,Limburg
Gulpen-Wittem,Limburg
Haelen,Limburg
Heel,Limburg
Heerlen,Limburg
Helden,Limburg
Heythuysen,Limburg
Horst aan de Maas,Limburg
Hunsel,Limburg
Kerkrade,Limburg
Kessel,Limburg
Landgraaf,Limburg
Maasbracht,Limburg
Maasbree,Limburg
Maastricht,Limburg
Margraten,Limburg
Meerlo-Wanssum,Limburg
Meerssen,Limburg
Meijel,Limburg
Mook en Middelaar,Limburg
Nederweert,Limburg
Nuth,Limburg
Onderbanken,Limburg
Roerdalen,Limburg
Roermond,Limburg
Roggel en Neer,Limburg
Schinnen,Limburg
Sevenum,Limburg
Simpelveld,Limburg
Sittard-Geleen,Limburg
Stein,Limburg
Swalmen,Limburg
Thorn,Limburg
Vaals,Limburg
Valkenburg aan de Geul,Limburg
Venlo,Limburg
Venray,Limburg
Voerendaal,Limburg
Weert,Limburg
